PROPERTYNAME,OWNEROFRECORD,REPORTINGYEAR,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER
Bernstein Offit Building,THE JOHN HOPKINS UNIVERSITY,2020,70.8,74.8,127.7,131.9,587.8,4.8,1253.7,307344.2,292865.7,302275.1,250101.8,228810.9,253918.8,346009.8,388769.9,365180.9,364579.8,331672.7,301803.5,687625.3,785197.9,416248.2,346788.0,214331.4,9131.4,3180.6,2770.2,125890.2,498328.1,789404.4,1063346.5
Bernstein Offit Building,JOHNS HOPKINS UNIVERSITY,2021,84.5,88.8,168.3,172.8,739.1,6.0,730.5,273532.3,266487.4,361639.7,381479.3,404777.7,497628.2,667294.8,705524.6,664349.5,497007.4,400894.6,450230.5,1143476.8,818748.0,698911.1,471960.0,75924.0,6566.4,7489.8,4924.8,6053.4,28830.6,506946.6,1007365.2
Bernstein Offit Building,JOHNS HOPKINS UNIVERSITY,2022,89.5,90.8,180.4,181.1,725.0,6.6,1306.5,392718.7,331354.0,371779.6,389693.3,470375.0,539433.1,635495.1,632907.3,522182.5,423528.0,393128.5,347925.0,1000919.7,787565.0,530070.1,297554.7,109872.6,16076.5,1603.0,1085.5,10884.3,233699.8,598958.2,839628.5
Bernstein Offit Building,THE JOHN HOPKINS UNIVERSITY,2023,76.7,84.7,158.3,166.8,630.1,5.7,1150.5,353505.1,321073.2,383163.6,412392.8,465684.8,490409.3,557810.0,536882.4,442995.1,347969.0,297483.7,296332.2,966301.2,668310.7,507348.0,223622.0,60.7,200.0,675.0,764.4,460.6,222672.8,600367.3,372892.3
Merriweather Campus,GEORGE WASHINGTON UNIVERSITY,2021,74.9,77.6,145.6,147.1,959.8,5.5,5585.6,495236.9,459838.6,485872.6,438600.1,406462.1,532092.7,677371.1,705989.0,780533.7,686233.4,472185.0,537855.0,1498802.6,1237119.9,682858.1,269332.0,142667.5,79032.8,117162.2,99403.5,191825.7,326265.7,671818.0,1079484.2
Merriweather Campus,GEORGE WASHINGTON UNIVERSITY,2022,137.6,141.5,214.6,218.6,1513.4,8.7,9725.1,559462.4,546115.0,536400.4,490016.3,450205.4,478365.9,716068.6,788911.6,780036.2,593947.6,505603.5,542347.2,1461212.7,1060183.4,2472368.4,9393850.0,189923.7,68757.7,78457.2,87011.4,161138.6,329179.6,637807.7,1091545.7
Merriweather Campus,THE GEORGE WASHINGTON UNIVERSITY,2023,70.7,75.4,140.6,145.6,896.7,5.2,9968.2,554901.3,526595.8,519620.2,486145.7,485512.6,506974.5,589532.2,640408.2,704135.8,590064.4,496575.7,504690.0,1186390.8,939853.2,854260.2,264247.7,180231.6,117173.3,110428.1,90936.7,137506.9,267020.1,591148.7,967731.6
McDonough Hall,GEORGETOWN COLLEGE LAW CENTER,2013,81.9,82.5,203.9,204.6,3020.2,8.9,4778.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough Hall,GEORGETOWN COLLEGE LAW CENTER,2014,79.7,78.6,195.9,194.5,2906.5,8.6,3701.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough Hall,GEORGETOWN COLLEGE LAW CENTER,2016,73.8,75.1,189.4,188.9,2447.8,7.2,4002.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
