PROPERTYNAME,OWNEROFRECORD,REPORTINGYEAR,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER
American University Main Campus,AMERICAN UNIVERSITY,2022,99.8,100.1,179.0,178.7,22024.2,6.8,76380.2,9458974.6,11007557.9,9990630.8,10816204.6,10862844.0,12658373.0,13670547.9,13434033.0,14751815.7,10641044.2,11249261.9,9514860.3,24198389.1,17747286.5,15674081.8,11990736.2,9503708.9,10909172.2,10505170.8,10027257.3,11791535.8,13555401.2,16579739.7,20669327.4
American University Main Campus,AMERICAN UNIVERSITY,2023,91.7,95.1,175.6,178.4,21289.9,6.6,87482.8,10667843.5,10405010.9,10606369.2,11714344.9,11370077.0,13219760.8,14597461.9,15921885.7,14868807.0,11994569.9,11775286.8,10150806.2,17017199.0,15808542.1,15681468.6,8965964.3,7984953.8,9326359.9,8764542.9,8796040.7,10139653.5,11347548.8,12938646.6,22367949.6
Intercultural Center,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2013,83.3,83.6,192.5,192.9,2063.4,9.2,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnall Hall,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2013,189.3,190.4,330.3,331.6,2264.9,18.3,5423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harbin Hall,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2013,155.0,155.8,254.5,255.4,1755.1,15.0,4199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jemal's Cayre Car Barn, LLC",JEMAL'S CAYRE CARBARN LLC,2018,33.6,33.6,84.8,84.8,300.0,3.0,1366.2,309697.0,256869.0,220957.7,227645.2,207326.8,239461.0,269705.0,229600.3,264607.4,212615.4,210929.8,192430.0,160840.0,60330.0,55060.0,11300.0,920.0,0.0,0.0,0.0,0.0,1500.0,111260.0,126690.0
"Jemal's Cayre Car Barn, LLC",JEMAL'S CAYRE CARBARN LLC,2019,29.6,29.7,73.3,73.4,281.2,2.5,1385.0,205624.2,238870.7,230091.6,220224.1,207057.2,229556.0,223759.0,251287.0,253603.7,218757.0,195882.9,206173.5,152700.0,168940.0,97780.0,19710.0,1040.0,130.2,99.8,0.0,0.0,9200.0,48905.8,108623.2
"Jemal's Cayre Car Barn, LLC",JEMAL'S CAYRE CARBARN LLC,2020,20.7,22.0,51.4,52.7,197.0,1.8,741.6,205071.4,194214.4,190027.9,127902.2,106979.8,141198.8,172459.5,186527.2,165516.1,141072.5,123623.6,126155.3,95988.5,66250.0,26879.4,22968.1,11206.4,78.6,0.0,181.2,1002.9,9082.7,48754.5,138033.4
"Jemal's Cayre Car Barn, LLC",JEMAL'S CAYRE CARBARN LLC,2021,22.4,23.2,54.5,55.3,210.4,1.9,320.7,149292.1,135804.4,143832.9,137182.9,149022.5,147985.3,199380.2,192604.0,204552.8,183163.0,170869.6,151008.3,179504.6,168235.3,32586.1,22209.3,0.0,0.0,0.0,40.0,240.0,4176.2,20338.2,100042.6
Car Barn,GEORGETOWN UNIVERSITY,2022,20.5,21.2,47.1,47.8,180.8,1.6,297.8,150708.0,159224.4,166594.3,174076.8,169027.1,173101.0,190771.7,189898.3,220493.7,9229.5,7677.0,9843.6,213319.9,176459.1,73331.2,18181.8,2261.0,0.0,0.0,0.0,857.9,13367.7,52963.1,110471.3
Car Barn,GEORGETOWN UNIVERSITY,2023,40.7,42.2,105.8,106.7,387.4,3.5,2399.0,323996.5,291627.8,324644.5,334340.5,334191.4,343852.7,382703.2,403014.4,357912.2,328489.8,294483.1,290911.1,201262.0,126292.9,73959.7,5059.9,2517.2,148.8,0.0,0.0,0.0,2970.0,19788.3,76457.8
Leavey Center,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2013,200.2,201.2,377.8,379.0,5319.5,20.4,15086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Med-Dent (Medical Center),GEORGETOWN UNIVERSITY,2013,342.2,343.4,572.5,573.9,4902.3,33.4,3469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafik Hariri,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2013,94.5,94.8,185.9,186.2,1951.4,9.8,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125-2131 G St,GEORGE WASHINGTON UNIVERSITY,2017,36.1,35.3,113.3,110.7,215.6,4.0,258.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC - Trinity Center,TRINITY COLLEGE,2016,239.5,241.8,540.1,542.5,1234.4,21.2,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC - Trinity Center,TRINITY COLLEGE,2017,240.9,244.9,535.2,539.4,1198.3,20.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alumnae and Main Hall,TRINITY COLLEGE,2014,119.6,117.4,213.0,209.7,3394.8,9.7,2848.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alumnae and Main Hall,TRINITY COLLEGE,2016,109.9,113.0,200.2,202.9,2907.5,8.3,2857.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alumnae and Main Hall,TRINITY COLLEGE,2017,104.3,113.0,190.2,198.8,2711.5,7.8,2737.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2012,79.8,83.4,154.0,157.7,20220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2013,77.1,77.3,151.2,151.4,19913.4,6.6,72384.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2014,84.6,84.5,173.6,173.1,23424.8,7.8,83323.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2015,114.7,114.7,223.5,221.7,22367.3,10.2,67243.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2016,117.9,118.5,234.8,233.5,20961.4,9.5,58177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2017,119.2,121.8,234.5,234.9,20573.3,9.4,59037.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallaudet University,GALLAUDET UNIVERSITY,2018,120.2,120.0,217.2,215.7,19771.3,8.6,64364.9,8378368.6,7723451.2,8072746.9,8331219.3,11318407.2,11209075.3,12405418.2,12839936.6,12309334.1,10508496.7,8215796.2,8035927.2,18596430.0,15359200.7,17326960.6,12323959.1,10357030.9,9671199.0,9147669.7,7102880.1,9032119.0,11741719.2,15809080.1,17760809.1
Gallaudet University,GALLAUDET UNIVERSITY,2019,118.2,119.2,214.2,213.1,19436.7,8.5,66686.8,7939091.6,7730654.2,8444111.5,9464491.8,10762871.4,11136605.3,12454955.8,12356581.1,11651345.5,10277581.0,7909051.5,7953258.8,20721174.0,16948229.7,16895519.8,11627869.9,10367241.1,8739020.0,7917169.7,8422899.9,8758838.9,9859499.7,15549401.1,17354799.7
Gallaudet University,GALLAUDET UNIVERSITY,2020,102.4,105.0,182.3,183.8,16652.7,7.3,47449.6,8151613.4,7956302.6,7964612.2,6735988.5,7660604.4,9649904.0,10752769.0,10396021.0,8846767.6,7654801.5,6371298.6,5983649.8,18338801.8,16648462.3,14068102.2,11377505.6,10038650.3,9701201.6,7503744.4,7306997.6,6012644.8,8092515.1,10883199.1,16575621.6
Gallaudet University,GALLAUDET UNIVERSITY,2021,104.4,106.4,185.8,186.5,16690.4,7.3,54866.5,6025801.7,5621763.8,6169612.3,6314535.4,7399459.9,9293181.9,10833974.8,11727143.7,10610349.9,9899178.1,8219919.9,7783043.7,18339127.8,16913054.5,14609422.9,11460547.5,7481059.7,7085906.9,7447270.5,7991623.0,7657527.2,9187130.7,14402166.6,16835998.2
Gallaudet University,GALLAUDET UNIVERSITY,2022,112.7,113.3,194.7,194.5,17144.9,7.5,86467.9,6044926.4,6963659.3,6773016.3,7640972.1,9349104.4,7692249.6,9292034.5,11906146.7,10269330.1,8997421.4,7934580.2,7258849.7,22085700.2,18121083.2,16599388.9,12436329.9,9665718.6,9098409.0,6363911.7,7901520.8,8463000.1,11366599.3,15975850.9,20162500.1
Gallaudet University,GALLAUDET UNIVERSITY,2023,110.2,114.9,195.7,199.7,17306.6,7.5,72894.0,7254690.9,6801376.0,7495622.8,8277397.7,9082608.0,9550952.4,11087680.1,11720630.3,10728150.1,9064404.5,6976877.9,6765723.5,18047934.6,15950008.2,17193504.7,11816950.9,8767407.9,6980509.0,8635615.1,8350641.1,8552340.9,10236801.6,14571083.0,17751972.8
Law School,HOWARD UNIVERSITY,2014,60.4,59.4,119.2,118.2,1555.2,5.4,1576.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law School,HOWARD UNIVERSITY,2015,66.7,68.7,134.8,136.8,1752.9,6.0,1755.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law School,HOWARD UNIVERSITY (LAND ONLY),2016,67.6,69.6,134.6,135.9,1584.1,5.5,3241.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law School,HOWARD UNIVERSITY (LAND ONLY),2017,53.1,59.1,109.5,115.8,1249.3,4.3,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law School,HOWARD UNIVERSITY (LAND ONLY),2018,119.1,119.2,252.4,251.1,2732.8,9.4,2007.8,1742369.9,1450269.8,1503359.9,1524690.0,1704610.0,1738699.8,2046810.0,2221439.8,2120550.3,1929390.1,1638070.2,1466840.0,2553890.0,1999270.0,1833690.0,1535030.1,49008.0,42589.0,42021.0,54465.0,140159.0,793846.1,2088620.1,2319770.0
Law School,HOWARD UNIVERSITY,2019,104.9,107.5,228.6,230.1,2451.9,8.5,938.0,1557069.9,1439420.1,1622990.1,1530679.8,1535840.1,1731590.1,1851420.1,1972920.0,1840269.9,1632000.0,1522900.2,1390120.0,2297069.9,2024650.0,1790040.1,600977.1,45667.0,37725.0,48621.0,51576.0,111547.0,483914.0,1121619.9,2181800.2
Law School,HOWARD UNIVERSITY,2020,66.5,71.5,133.9,139.1,1446.0,5.0,927.8,456667.8,721586.1,902220.3,1064089.8,991486.0,1107159.9,1113549.8,918703.3,810192.0,818807.0,914682.0,796355.0,1879130.1,1628370.0,1284980.1,847119.0,283362.0,27565.0,29559.0,27067.0,46211.0,119440.0,513698.1,1979470.0
Law School,HOWARD UNIVERSITY,2021,71.8,75.7,143.4,146.6,1553.7,5.4,1107.7,804604.1,801441.2,761213.7,813816.6,885356.0,857619.9,1139379.3,1308471.2,1128290.4,978217.1,888406.2,903586.4,1877090.0,2212430.1,1305330.0,831821.1,169889.0,33007.0,29256.0,40937.0,55239.0,265638.0,1142700.0,1585170.1
Law School,HOWARD UNIVERSITY,2022,70.5,71.1,147.5,147.0,1499.6,5.2,1724.4,991342.5,869095.4,924514.6,925492.8,1038318.6,1117231.5,1222451.8,1344707.5,1169716.8,936563.3,809052.0,825313.9,1861863.1,1587213.0,1032896.1,640751.1,36065.0,30358.0,35576.0,49027.0,73662.0,328217.2,822366.9,1766163.0
Law School,HOWARD UNIVERSITY (LAND ONLY),2023,62.1,69.2,128.1,134.7,1339.4,4.6,2108.8,842716.1,775823.2,835393.3,815706.9,803521.9,874866.6,1023138.6,1074001.2,965611.8,869055.2,789402.0,761148.6,2073052.4,1149661.7,1311890.2,412569.0,43498.8,29969.6,30856.4,45623.3,55798.1,230019.1,893723.3,1293127.4
Georgetown Law,GEORGETOWN COLLEGE LAW CENTER,2013,0.0,0.0,0.0,0.0,446.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgetown Law,GEORGETOWN COLLEGE LAW CENTER,2017,5.9,7.1,6.2,7.4,287.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall Group,GEORGE WASHINGTON UNIVERSITY,2013,473.1,473.0,718.3,718.1,18291.0,33.2,47084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall Group,GEORGE WASHINGTON UNIVERSITY,2014,214.8,214.8,387.2,387.2,18608.8,17.8,36750.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall Group,GEORGE WASHINGTON UNIVERSITY,2015,266.4,271.1,491.5,496.4,23445.0,22.4,70804.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall Group,GEORGE WASHINGTON UNIVERSITY,2016,380.3,379.7,579.6,579.0,26790.8,25.6,44072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall Group,GEORGE WASHINGTON UNIVERSITY,2017,465.5,465.5,599.7,599.7,29117.0,27.8,64753.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisner Hall Group,GEORGE WASHINGTON UNIVERSITY,2017,90.0,92.8,206.4,209.3,3589.7,7.9,7004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center Group,GEORGE WASHINGTON UNIVERSITY,2013,155.5,155.7,307.3,307.5,4952.5,13.8,11027.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center Group,GEORGE WASHINGTON UNIVERSITY,2014,122.2,121.7,259.8,258.0,4220.2,11.7,11172.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center Group,GEORGE WASHINGTON UNIVERSITY,2015,110.2,110.4,229.7,226.8,3700.4,10.3,10679.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center Group,GEORGE WASHINGTON UNIVERSITY,2016,110.2,110.4,237.0,234.3,3392.6,9.4,8683.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center Group,GEORGE WASHINGTON UNIVERSITY,2017,107.9,109.5,226.9,225.7,3187.9,8.9,7137.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgetown University,JESUIT COMMUNITY AT GEORGETOWN UNIV INC,2013,0.0,0.0,0.0,0.0,59203.7,0.0,3787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgetown University,JESUIT COMMUNITY AT GEORGETOWN UNIV INC,2014,158.1,157.9,331.9,331.0,67780.0,14.6,360261.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgetown University,JESUIT COMMUNITY AT GEORGETOWN UNIV INC,2015,173.1,174.8,355.7,354.1,73604.8,15.8,209845.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgetown University,THE PRESIDENT AND DIRECTORS OF GEORGETOWN COLLEGE,2016,139.0,140.5,295.6,294.6,64992.5,11.5,218748.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgetown University,THE PRESIDENT AND DIRECTORS OF GEORGETOWN COLLEGE,2017,131.9,136.6,282.5,284.6,60239.8,10.7,162733.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelman Library Group,GEORGE WASHINGTON UNIVERSITY,2013,92.6,92.6,224.2,224.2,4364.7,9.4,10411.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of California Washington Center,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2012,76.2,78.7,177.4,178.1,1186.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of California Washington Center,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2013,80.5,80.8,183.2,183.5,1229.9,7.7,6010.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of California Washington Center,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2014,70.1,70.2,155.1,155.2,1091.7,6.9,5997.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of California Washington Center,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2015,66.4,66.3,151.7,149.8,1062.8,6.7,720208.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of California Washington Center,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2016,67.6,68.1,156.9,155.7,972.4,6.1,6954.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of California Washington Center,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2017,67.9,70.0,157.3,157.5,950.6,6.0,5545.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law Clinic Townhouses,THE GEORGE WASHINGTON UNIVERSITY,2022,46.3,46.3,126.8,126.8,109.8,4.0,94.7,112165.5,95053.2,123397.7,100136.8,107648.1,107051.0,103106.6,104288.3,97117.8,83316.8,88926.7,110738.3,4370.0,3834.2,3743.9,3569.9,3816.6,3683.4,3639.5,3399.0,3708.2,3701.8,3769.5,4033.1
Law Clinic Townhouses,THE GEORGE WASHINGTON UNIVERSITY,2023,43.1,43.1,119.3,119.3,108.0,3.8,115.5,106249.5,89252.2,104295.1,97444.2,97299.9,89821.0,87390.2,83388.8,89250.5,97849.8,114736.6,131717.6,4258.1,3389.2,3928.9,3978.8,3840.6,2999.4,227.3,0.0,0.0,0.0,0.0,0.0
St Mary's,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2013,80.6,80.6,178.2,178.2,723.2,8.7,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theological College,THEOLOGICAL COLLEGE INC,2013,82.7,82.2,183.8,183.3,1071.2,7.8,1870210.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theological College,THEOLOGICAL COLLEGE INC,2014,93.1,91.1,188.1,184.5,1158.4,8.4,1571192.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theological College,THEOLOGICAL COLLEGE INC,2015,91.3,92.6,186.7,185.4,1148.0,8.4,2129741.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theological College,THEOLOGICAL COLLEGE INC,2016,92.0,93.7,191.6,191.8,1055.3,7.7,2576.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theological College,THEOLOGICAL COLLEGE INC,2017,89.3,95.1,182.7,187.0,988.8,7.2,2489.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theological College,THEOLOGICAL COLLEGE INC,2019,103.0,107.0,182.6,184.6,1000.0,7.3,2083.7,434964.8,409722.4,430265.0,428663.4,486676.4,549961.4,638131.9,648026.7,587698.4,466040.6,383256.9,374208.1,1698791.5,1689330.3,1619348.9,592185.1,127794.0,77779.6,78112.3,74604.7,82633.0,385999.8,818311.4,1063979.4
Theological College,THEOLOGICAL COLLEGE INC,2020,77.4,82.3,142.3,147.4,768.6,5.6,1279.5,387053.8,368649.4,340670.6,288745.3,361425.3,456485.2,545403.7,577066.7,468040.5,372896.7,318765.3,305525.9,1091418.4,999190.1,847264.4,673018.9,316793.1,69095.1,48102.8,70157.2,101703.4,292296.6,560566.6,767787.8
Theological College,THEOLOGICAL COLLEGE INC,2021,72.2,74.9,138.7,140.2,722.5,5.3,1845.9,347725.6,335974.0,336519.9,329540.7,383027.6,477307.5,547376.2,573117.9,524333.4,428522.3,339293.6,314861.0,958939.4,934773.9,732275.6,267886.4,89603.8,67233.5,63720.4,67835.7,84991.5,200841.4,631692.9,871545.1
